,date,NVDA open,AMD open,INTC open,ATVI open,EA open,Curde oil,Gold,Nasdaq index,ETH-USD open,BTC-USD open
439,21-Jan-20,61.95,50.96,59.81,61.0,112.55,59.17,1559.3,9361.07,167.06,8658.99
440,17-Jan-20,62.42,50.2,59.98,60.61,112.37,58.59,1554.1,9392.37,164.49,8725.21
441,16-Jan-20,61.93,49.17,59.26,60.0,110.0,58.1,1555.7,9313.45,166.33,8812.48
442,15-Jan-20,61.95,48.23,59.3,60.05,109.79,58.2,1548.0,9253.76,165.73,8825.34
443,14-Jan-20,62.56,48.64,59.49,59.58,109.66,58.03,1546.7,9270.61,144.25,8140.93
444,13-Jan-20,61.92,48.66,59.17,59.12,109.05,59.04,1557.4,9213.72,146.22,8189.77
445,10-Jan-20,61.83,49.26,59.57,59.76,109.2,59.61,1551.2,9232.95,138.97,7878.31
446,9-Jan-20,60.96,48.94,59.05,60.24,110.0,59.99,1555.7,9202.27,141.16,8082.3
447,8-Jan-20,59.94,47.85,58.89,60.0,108.18,62.84,1579.7,9068.03,143.49,8161.94
448,7-Jan-20,59.55,49.35,59.78,59.69,109.0,62.91,1558.3,9076.64,144.31,7768.68
449,6-Jan-20,58.08,48.02,59.59,58.47,106.95,63.71,1580.0,8943.5,136.31,7410.45
450,3-Jan-20,58.78,48.03,59.81,58.03,105.58,61.18,1530.1,8976.43,127.41,6984.43
451,2-Jan-20,59.69,46.86,60.24,59.91,107.94,61.6,1518.1,9039.46,130.82,7202.55
452,31-Dec-19,57.72,45.07,59.62,58.72,106.58,61.68,1513.8,8918.74,132.61,7294.44
453,30-Dec-19,59.0,46.14,59.99,59.35,108.11,61.71,1512.6,9004.45,134.8,7420.27
454,27-Dec-19,59.95,46.85,59.91,59.21,108.6,61.73,1513.8,9049.47,126.37,7238.14
455,26-Dec-19,59.69,46.99,59.41,58.81,108.56,61.2,1505.2,8970.21,126.49,7274.8
456,24-Dec-19,59.55,46.1,59.25,58.78,107.78,60.805,1493.75,8955.01,128.63,7354.39
